Ax,Ay,Az,Gx,Gy,Gz
0.5025012506253126,0.4998749061796348,0.7528146109582188,0.5005650801402236,0.4941556063275023,0.5004883408619216
0.485992996498249,0.6562421816362274,0.7047785839379536,0.5536407555330763,0.3363290719779549,1.0
0.5030015007503751,0.5001250938203654,0.7528146109582188,0.5007028620262658,0.4941556063275023,0.5004429949247432
0.4589794897448724,0.743307480610458,0.4878658994245685,1.0,0.6731464848178315,0.6664021486997924
0.1570785392696348,0.0,0.5466599949962473,0.9687915307741948,0.4570573974920208,0.00604321816628
0.5025012506253126,0.4998749061796348,0.7528146109582188,0.500610426077402,0.494171302998064,0.5005040375324834
0.5492746373186592,0.5193895421566176,0.7745809357017766,0.5375412037602246,0.4401172018068612,0.9814273505764166
0.4844922461230614,0.3955466599949964,0.8311233425068802,0.0,0.5454157001587108,0.5340007325112929
0.3189094547273636,0.6817613209907432,0.7097823367525645,0.5328252262936672,0.4260163594188744,0.967692763834871
0.516008004002001,0.5166374781085816,0.7575681761320991,0.4675863752899524,0.5108202382405777,0.5879920470202487
0.1078039019509755,0.3892919689767327,0.3570177633224919,0.5301864415647837,0.5450790937788862,0.5294835795385179
0.8699349674837418,0.3690267700775582,0.6715036277207908,0.500838899837801,0.6212009697054258,0.4488776880548337
0.8161580790395196,0.9654741055791848,0.7100325243932951,0.5239130055635977,0.0,1.0
0.51975987993997,0.6925193895421567,0.8406304728546412,0.6861032143293162,0.510331897378656,0.0
0.373936968484242,0.5509131848886666,0.7623217413059795,0.4567504403788129,0.3834696618239531,1.0
0.4712356178089044,0.6264698523892921,0.7180385288966726,0.0,0.2451785060257774,0.6345693008005302
0.4857428714357178,0.4178133600200151,0.684013009757318,0.9926295411339972,0.6231386364825505,0.4382405776374767
0.5027513756878439,0.4998749061796348,0.7530647985989494,0.5006418194185256,0.4941242129863787,0.5004116015836196
0.5025012506253126,0.4998749061796348,0.7528146109582188,0.500610426077402,0.4941556063275023,0.5005197342030452
0.4674837418709354,0.6407305479109333,0.7895921941456093,0.0,0.4362418682526117,0.5159774665573713
0.5350175087543771,0.5446584938704029,0.7983487615711785,0.5332839178889722,0.4427123846730732,0.769168250867677
0.5275137568784392,0.5421566174630975,0.7408056042031524,0.4739958491026736,0.4708826761079233,0.3082494724174617
0.4702351175587793,0.5399049286965225,0.7378033525143859,0.3932521757329473,0.4345169785653243,0.496398486143328
0.5560280140070034,0.5704278208656494,0.769326995246435,0.4029126044264611,0.5179465266756196,0.0
